url	topic_name	topic	probability	main_topic
http://twitter.com/i/web/status/1576067362092376064	sleep_wake_bed	16	2.0	16
http://twitter.com/i/web/status/1576067797964058626	sensitive_upset_hurt	144	3.0	144
http://twitter.com/i/web/status/1576068407627501568	intimacy_kissing_kiss	61	3.0	61
http://twitter.com/i/web/status/1576069666543321089	thoughts_thinking_crazy	57	1.0	57
http://twitter.com/i/web/status/1576070197311860742	abbott_greg_texas	60	100.0	60
http://twitter.com/i/web/status/1576070263128498177	october_draining_tiring	66	100.0	66
http://twitter.com/i/web/status/1576071769106317312	venti_nahida_zhongli	305	26.0	305
http://twitter.com/i/web/status/1576072287702642689	dating_date_man	82	3.0	-1
http://twitter.com/i/web/status/1576073704307847168	subathonnnn_earningmyrespect_follow	364	1.0	364
http://twitter.com/i/web/status/1576073852605505542	girl_homegirls_girlboss	168	1.0	-1
http://twitter.com/i/web/status/1576074428009615361	busan_concert_weverse	21	1.0	-1
http://twitter.com/i/web/status/1576074428869484544	winners_gc_winner	105	8.0	-1
http://twitter.com/i/web/status/1576074483831644160	team_fans_win	297	3.0	-1
http://twitter.com/i/web/status/1576074483831644160	mufc_united_apadrina	387	3.0	-1
http://twitter.com/i/web/status/1576076601376153601	exam_grades_exams	201	1.0	-1
http://twitter.com/i/web/status/1576076601376153601	study_studying_rawr	333	1.0	-1
http://twitter.com/i/web/status/1576077117225242624	theothersidetour_marktuan_theotherside	360	2.0	-1
http://twitter.com/i/web/status/1576077704884981761	jungkook_jung_omg	3	45.0	3
http://twitter.com/i/web/status/1576078681952636930	love_them_forever	240	100.0	240
http://twitter.com/i/web/status/1576079469881610240	jaehyun_jaemin_la	288	46.0	288
http://twitter.com/i/web/status/1576080952899817473	mood_current_ingee	55	39.0	55
http://twitter.com/i/web/status/1576081709707034628	draw_idr_like	266	14.0	266
http://twitter.com/i/web/status/1576082274767974400	jungwon_enhypen_post	311	100.0	311
http://twitter.com/i/web/status/1576084001626165248	security_social_medicare	119	1.0	-1
http://twitter.com/i/web/status/1576084177858220035	wigs_michael_hat	354	100.0	354
http://twitter.com/i/web/status/1576085100529614848	hindu_hindus_india	402	2.0	-1
http://twitter.com/i/web/status/1576085500359675904	nato_sanctions_starve	448	9.0	-1
http://twitter.com/i/web/status/1576086036316581894	october_draining_tiring	66	100.0	66
http://twitter.com/i/web/status/1576086200623849472	heart_heavy_deserve	176	1.0	-1
http://twitter.com/i/web/status/1576086200623849472	hardest_feel_strong	295	1.0	-1
http://twitter.com/i/web/status/1576087047793971200	men_ngga_thier	161	3.0	-1
http://twitter.com/i/web/status/1576089487675133952	arshad_sharif_pakistan	70	1.0	-1
http://twitter.com/i/web/status/1576089487675133952	nika_her_shakarami	146	1.0	-1
http://twitter.com/i/web/status/1576089487675133952	flood_mindanao_paengph	307	1.0	-1
http://twitter.com/i/web/status/1576089487675133952	evin_prisoners_prison	316	1.0	-1
http://twitter.com/i/web/status/1576089487675133952	italy_italian_rome	420	1.0	-1
http://twitter.com/i/web/status/1576089621359865856	spotify_playlist_wrapped	199	5.0	199
http://twitter.com/i/web/status/1576090533927292929	oughta_yess_goes	254	12.0	254
http://twitter.com/i/web/status/1576091548382507008	november_wish_bringing	45	2.0	45
http://twitter.com/i/web/status/1576093162732331008	intimacy_kissing_kiss	61	2.0	-1
